Chain,Type
3l06_A,knotted
3l05_A,knotted
3l04_A,knotted
3l02_A,knotted
3m5d_A,knotted
3m5c_A,knotted
3m4n_A,knotted
3m4j_A,knotted
3kzo_A,knotted
3kzn_A,knotted
3kzm_A,knotted
3kzc_A,knotted
3kzk_A,knotted
1pvv_A,unknotted
1fvo_A,unknotted
1ep9_A,unknotted
4h31_A,unknotted
4jqo_A,unknotted
4jhx_A,unknotted
4jfr_A,unknotted
